Satelit,Latitude,Longitude,Kedalaman,Temperature
12,-7.822415,110.119384,24.0,31.1

12,-7.822407,110.119384,24.3,31.0

12,-7.822398,110.119384,23.9,30.9

12,-7.822391,110.119384,24.1,31.0

12,-7.822383,110.119384,23.9,31.1

12,-7.822375,110.119384,24.1,31.1

12,-7.822367,110.119384,23.7,30.9

11,-7.822358,110.119384,24.0,31.0

11,-7.82235,110.119384,23.7,31.0

11,-7.822343,110.119384,23.7,31.0

11,-7.822337,110.119384,24.3,31.1

11,-7.822329,110.119384,24.2,31.1

11,-7.82232,110.119377,24.1,31.0

11,-7.822312,110.119377,27.1,31.1

11,-7.822303,110.119377,26.7,30.9

11,-7.822293,110.119377,27.4,31.1

11,-7.822285,110.119377,27.8,31.0

11,-7.822273,110.119377,27.9,31.0

11,-7.822265,110.119377,27.7,31.0

11,-7.822255,110.119369,28.1,31.1

11,-7.822247,110.119369,28.1,31.0

11,-7.82224,110.119369,28.4,31.0

11,-7.822232,110.119369,28.4,31.1

11,-7.822222,110.119369,29.6,31.0

11,-7.822212,110.119369,29.7,31.1

11,-7.822205,110.119361,29.2,31.2

8,-7.822196,110.119361,29.5,31.0

12,-7.822186,110.119361,29.0,31.1

12,-7.822175,110.119361,29.2,31.0

12,-7.822166,110.119361,29.0,31.0

12,-7.822157,110.119361,29.3,31.0

12,-7.822148,110.119354,29.2,31.1

12,-7.822138,110.119354,29.4,31.1

12,-7.82213,110.119354,28.5,31.1

12,-7.822122,110.119354,28.5,31.0

12,-7.822115,110.119354,28.3,31.1

12,-7.822107,110.119354,28.5,31.0

12,-7.822098,110.119346,28.5,31.2

12,-7.82209,110.119346,28.2,31.0

12,-7.822082,110.119346,28.2,31.1

11,-7.822075,110.119346,28.2,31.1

11,-7.822067,110.119338,28.6,31.1

11,-7.822057,110.119338,28.1,31.1

11,-7.822048,110.119338,28.9,31.2

11,-7.82204,110.119338,28.3,31.1

11,-7.82203,110.119331,28.5,31.1

11,-7.82202,110.119331,27.9,31.1

11,-7.82201,110.119331,28.5,31.1

11,-7.822001,110.119331,28.0,31.2

11,-7.821993,110.119331,27.8,31.0

11,-7.821983,110.119331,27.8,31.1

11,-7.821975,110.119323,28.1,31.1

11,-7.821968,110.119323,27.7,31.1

11,-7.82196,110.119323,27.7,31.2

11,-7.821952,110.119323,27.6,31.1

